Query,Intent,Aggregation,Paid Status,split
What is my min revenue for rago travel agency in the today?,Sales,Min,None,train
What was our biggest expense This year?,Expense,Max,None,train
"Last fiscal year, what are my account receivable?",Account Receivables,Total,None,train
How much we received from checking in today?,Invoice,Total,None,train
What was the total bill I received from elli equipment rental?,Bill,Total,None,train
What were our total payroll expenses Last 30 days?,Expense,Total,None,train
"This quarter, how many refunds did I sell?",Invoice,Count,None,train
When was the first time barnett design paid you?,Invoice,Min,TRUE,train
What was the first invoice for trimming?,Invoice,Min,None,train
How many invoices are past due since Last 30 days?,Invoice,Count,FALSE,train
What were my outgoings during the Last 12 months?,Expense,Total,None,train
"As of Last 30 days, how many invoices for kate whelan were still outstanding?",Invoice,Count,FALSE,test
When was the first time we billed for stationery?,Expense,Min,None,train
Show how many transactions you've had with geeta kalapatapu,Invoice,Count,None,test
How many invoices have we sent to cool cars?,Invoice,Count,None,test
What is the balance due from geeta kalapatapu?,Sales,Total,FALSE,test
What was the last invoice I received from brosnahan insurance agency?,Bill,Max,None,test
"This quarter to date, what are my account payable?",Account Payable,Total,None,test
What is my last invoice from pam seitz?,Bill,Max,None,test
How many video games by dan invoices haven't been paid yet?,Invoice,Count,FALSE,train
Display all transactions involving rago travel agency,Invoice,Count,None,test
How many sprinkler pipe did I sell Last year?,Invoice,Count,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
"In the This week to date, what has been my last sales from dylan sollfrank?",Sales,Max,None,train
How much revenue came through wedding planning by whitney last month?,Sales,Total,None,train
"This fiscal year, how many repair did I sell?",Invoice,Count,None,train
How much have we been spending on travel meals?,Expense,Total,None,train
How much has cool car paid us Last 7 days?,Sales,Total,TRUE,train
How much money did we make yesterday?,Sales,Total,None,train
What was our total spend for books by bessie in the Last 30 days?,Expense,Total,None,train
What is the balance owed by barnett design?,Sales,Total,FALSE,test
What was the total invoice amount for dylan sollfrank?,Sales,Total,None,train
What was the last invoice I received from bob's burger joint?,Bill,Max,None,test
What is my min revenue for kookies by kathy in the This year to date?,Sales,Min,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
How many invoices have we sent to gevelber photography?,Invoice,Count,None,test
How much credit does barnett design have This quarter to date,Sales,Total,FALSE,test
When was the last time pye's cake paid you?,Invoice,Max,TRUE,train
How much did we pay computer by jenni the Last 12 months?,Expense,Total,TRUE,train
What are my total sales by department?,Sales,Total,None,train
What is diego rodriguez credit for Last quarter?,Sales,Total,FALSE,train
What was the most recent invoice for rondonuwu fruit and vegi?,Invoice,Max,None,train
What was the max invoice amount for meal and entertainment in yesterday?,Sales,Max,None,train
"Since This month, how many invoices have been past due?",Invoice,Count,FALSE,train
"As of This quarter to date, how many invoices for gevelber photography were still unpaid?",Invoice,Count,FALSE,train
What was our total income from barnett design in This month?,Sales,Total,None,train
When was the first time wedding planning by whitney paid you?,Invoice,Min,TRUE,train
"This quarter to date, how much did we pay elli equipment rental?",Expense,Total,TRUE,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
What's the total number of invoices we've issued to kate whelan?,Invoice,Count,None,train
What was the total of our net expenses?,Expense,Total,None,train
How much did we spend on interest earned This month?,Expense,Total,None,train
How much did we pay pam seitz the This week to date?,Expense,Total,TRUE,train
How much money did we make Last year?,Sales,Total,None,train
When was the first time 55 twin lane paid you?,Invoice,Min,TRUE,train
What was the total invoice amount for legal & professional fee?,Sales,Total,None,train
"As of Last 7 days, how many invoices for paulsen medical supply were still outstanding?",Invoice,Count,FALSE,test
What is my last revenue for pye's cake in the This quarter?,Sales,Max,None,train
What is my min invoice from norton lumber and building material?,Bill,Min,None,test
What were our total payroll expenses This quarter?,Expense,Total,None,train
"In the Last fiscal year, how many trimming did I sell?",Invoice,Count,None,train
How much has sonnenschein family store been paying us each month?,Sales,Total,None,train
How many invoices have we sent to dylan sollfrank?,Invoice,Count,None,test
How much revenue came through bill's windsurf shop last month?,Sales,Total,None,train
What were our total payroll expenses This fiscal year?,Expense,Total,None,train
What was our greatest expense This week to date?,Expense,Max,None,test
How much money did we make Last quarter?,Sales,Total,None,train
What was the first invoice for shara barnett?,Invoice,Min,None,train
What was our total income from video game by dan in This month to date?,Sales,Total,None,train
"Last month, what was our largest expense?",Expense,Max,None,train
"In the Last 7 days, how many pest control did I sell?",Invoice,Count,None,train
"This month, how much has amy's bird sanctuary paid us?",Sales,Total,TRUE,test
How much credit does gevelber photography have This fiscal year?,Sales,Total,FALSE,train
How much did we pay edd the Last year?,Expense,Total,TRUE,train
What are my last sales by department?,Sales,Max,None,train
How much money did we make Last quarter?,Sales,Total,None,train
Show all transactions with duke basketball camp,Invoice,Count,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
How many barnett design invoices have yet to be paid?,Invoice,Count,FALSE,test
How much we received from disposal fee?,Invoice,Total,None,train
How much has video game by dan been paying us each month?,Sales,Total,None,train
What is my lowest revenue for john melton in the Last year?,Sales,Min,None,train
"This week, how many hour did I sell?",Invoice,Count,None,train
What is my mean revenue for 55 twin lane in the This fiscal year?,Sales,Average,None,train
How many invoices are past due since Last 12 months?,Invoice,Count,FALSE,train
When was the first time we billed for interest earned?,Expense,Min,None,train
What was our total spend for met life dental in the This week to date?,Expense,Total,None,train
How many invoices are still oustanding for kookies by kathy as of This month to date?,Invoice,Count,FALSE,train
How many invoices are still oustanding for bill's windsurf shop as of Last 30 days?,Invoice,Count,FALSE,train
Display all of paulsen medical supply's transactions,Invoice,Count,None,test
Show how many transactions you've had with kate whelan,Invoice,Count,None,test
What are my AR Last 7 days?,Account Receivables,Total,None,train
What was our Net Expenses?,Expense,Total,None,train
Whats our monthly spend on united state treasury?,Expense,Total,None,train
Show all of sonnenschein family store's transactions,Invoice,Count,None,train
What was the lowest invoice amount for barnett design?,Sales,Min,None,train
What are my min sales by vendor?,Sales,Min,None,train
How much did we spend on decks and patios yesterday?,Expense,Total,None,train
"today, what was our largest expense?",Expense,Max,None,train
When did sonnenschein family store first pay?,Invoice,Min,None,train
How much did we spend on norton lumber and building material in This week to date?,Expense,Total,TRUE,train
How much money have we paid to chin's gas and oil yesterday?,Expense,Total,TRUE,train
What's the total number of invoices we've issued kate whelan?,Invoice,Count,None,train
How many sod did I sell Last 7 days?,Invoice,Count,None,train
Display all transactions involving bill's windsurf shop,Invoice,Count,None,test
"Last 7 days, how much did we pay norton lumber and building material?",Expense,Total,TRUE,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
"today, how much did we pay tim philip masonry?",Expense,Total,TRUE,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
What was the most recent invoice for concrete?,Invoice,Max,None,train
How much did I spend Last month?,Expense,Total,None,train
How much revenue came through jeff's jalopies last month?,Sales,Total,None,train
